product_name,real_category,prediction,,real_category
- 15 % sur les croquettes pour chat perfect fit,animalerie,animalerie,,animalerie
[latest version]victsing(r) 5500 dpi souris gaming/souris de jeu filaire avec led optique 5500 dpi max.7 bouton usb dpi reglable souris filaire pour p,high-tech,high-tech,,high-tech
"[nouveau]atoto a6 2din android car navigation stereo avec 2xbluetooth et 2a de recharge -premium a61710p 1g+16g auto-divertissement gps autoradio,partage d'internet via wifi/bt,pour 256go sd &plus",high-tech,high-tech,,cuisine et maison
[nouvelle generation] xiaomi d'origine mi band 2 wristband bracelet intelligent de sport bluetooth moniteur de frequence cardiaque ip67,high-tech,high-tech,,auto et moto
* seche-serviettes electrique a inertie fluide sauter marapi gris anthracite 750w,cuisine et maison,cuisine et maison,,epicerie
1 ensemble bouton noir interrupteur commande autoradio cd audio telecommande bouton voiture bluetooth cruise switch 6242z6,high-tech,high-tech,,hygiene et sante
10 ampoules t10 w5w 12v 5w orange,auto et moto,auto et moto,,jeux video
1080p wifi wireless media streaming player charcoalor for chromecast generation 1pcs portable wireless same screen,high-tech,high-tech,,vetements
"13"" macbook pro with touch bar (2019) - 512 gb ssd, silver",high-tech,jeux video,,bebe et puericulture
18 dosettes ese top 100 % arabica - pellini (327850191),epicerie,animalerie,,
18 jours de croquettes sur mesure pour orlie 2.826 kg,animalerie,cuisine et maison,,
180 capsules cafe nespresso,epicerie,epicerie,,
2 masques reutilisables,hygiene et sante,epicerie,,
2 pneus neige 165/70r213 avec jantes tole - saxo/106,auto et moto,auto et moto,,
2 rideaux beige opaques,cuisine et maison,cuisine et maison,,
205/50 r17 93w hankook k115,auto et moto,auto et moto,,
21 x capsules illy iperespresso boald roast (noir) (7464),epicerie,epicerie,,
"2pcs pour huawei honor 6x (2016) 5.5\\"" [ verre trempe] ultra mince...""",high-tech,high-tech,,
31 jours de croquettes sur mesure pour oria 10.788 kg,animalerie,jeux video,,
34 couches eco-midi t3 moltex 4-9 kg,animalerie,animalerie,,
4 enjoliveurs 13 pouces perm indiana stylway,auto et moto,auto et moto,,
4 enjoliveurs peugeot 208 16 pouces,auto et moto,auto et moto,,
4big.fun poele a pizza en fonte 22 cm et poele a pizza 22 cm,cuisine et maison,cuisine et maison,,
5 chaises de couleur taupe,cuisine et maison,cuisine et maison,,
5 x 40 capsules - l'or espresso splendente - 200 boissons - 5 x 208g - 4029225,epicerie,epicerie,,
"50,8 cm canape rouleaux (12)",cuisine et maison,cuisine et maison,,
6 x 16 capsules - the vert marrakech - nescafe dolce gusto(r) - 6 x 116g - 96 boissons - 12363002,epicerie,auto et moto,,
aberlour scotch whisky single malt forest reserve 10 ans 40% 70cl,epicerie,animalerie,,
abonnement a carte prepayee d'abonnement xbox live gold,jeux video,bebe et puericulture,,
"abonnement: dinde, patate douce, canneberge",animalerie,animalerie,,
"acana puppy large breed pour chiot- 11,4 kg",animalerie,animalerie,,
accelerate your keyboard playing [import anglais],high-tech,high-tech,,
adaptateur usb3 a-femelle vers b-male,high-tech,high-tech,,
"advance sterilized dinde, orge pour chat - 15 kg",animalerie,animalerie,,
affligem - biere blonde - pack de 12 x 25 cl,epicerie,animalerie,,
afrique du sud. rouge. pinotage,epicerie,epicerie,,
air raglan - t-shirt a manches longues,vetements,vetements,,
aj morgan - lunettes de soleil rondes avec double pont - dore,vetements,vetements,,
"akashi-tai honjozo genshu sake, 72 cl",epicerie,epicerie,,
"alfawise u20 plus imprimante 3d diy a grande echelle d'ecran tactile 2,8 pouces",high-tech,high-tech,,
aliment pour chat adulte tendres effiles en gelee aux poissons felix,animalerie,animalerie,,
alsace grand cru mambourg 2013 - marcel deiss,epicerie,epicerie,,
alternateur bmw 525 tds e39,auto et moto,hygiene et sante,,
amazonbasics rideau de douche en tissu imprime 180 x 200 cm carres bleus,cuisine et maison,cuisine et maison,,
"amplificateur de signal d'antenne de voiture,amplificateur d'antenne d'autoradio antenne reception amplificateur de signal pour connecteur ant-208 fakra de 5e generation",high-tech,high-tech,,
ancien vase rouleau en ceramique de saint amand hamage . nord. france,cuisine et maison,animalerie,,
animonda integra protect adult diabete 6 x 200 g pour chat- b?uf,animalerie,bebe et puericulture,,
anorak boonshine |blanc - 36/38 (fr) - s (us),epicerie,epicerie,,
aop bourgueil bio chateau gonflable rouge 75cl,epicerie,epicerie,,
aop cotes-du-rhone les combes de saint-sauveur rouge 75cl,epicerie,epicerie,,
apart fashion - chapeau - noir,vetements,vetements,,
apetamin sirop gain de poids assure 100% authentique envoi la semaine avant 10h!,hygiene et sante,hygiene et sante,,
"apple macbook air 11,6 zoll",high-tech,high-tech,,
"apple macbook pro 13.3"" retina core i5 a 2.6 ghz ssd 512 go - nouveau",high-tech,high-tech,,
"apple macbook pro 15 zoll, 8,2 anfang 2011, core i7 2ghz, 4 gb ram, 500 gb hd",high-tech,high-tech,,
"apple macbook pro 15"" retina comme neuf",high-tech,high-tech,,
"apple mf839b/a 13-inch macbook pro with retina display (intel core i5 2.7 ghz, 8 gb ram, 128 gb ssd, os x yosemite)",high-tech,high-tech,,
"apple watch se gps, boitier en aluminium argent de 40 mm, bracelet milanais or",high-tech,high-tech,,
apple watch series 4 gps aluminium gris sideral boucle sport noir 40 mm,high-tech,high-tech,,
"apple watch series 6 gps, boitier en aluminium argent de 40 mm, bracelet boucle unique blanc - taille 5",high-tech,high-tech,,
arboussa 2015 - les vignerons de tautavel vingrau,epicerie,epicerie,,
arcane la temperance - xavier vignon,epicerie,epicerie,,
archos 502591 balance connectee compatible android,hygiene et sante,bebe et puericulture,,
armoire ancienne style napoleon,cuisine et maison,cuisine et maison,,
"armoire double, porte miroir",cuisine et maison,cuisine et maison,,
armoire pax,cuisine et maison,cuisine et maison,,
armoires amovibles,cuisine et maison,cuisine et maison,,
"arnold 3121-u1-0003 jeu de cle a bougie, noir",auto et moto,auto et moto,,
asos design - combishort confort smocke a encolure degagee - noir,vetements,vetements,,
aspirateur ecologique sans sac classe a singer svc,cuisine et maison,cuisine et maison,,
aspirateur moulinex mo5263 pa compacteo ergo pa...,cuisine et maison,cuisine et maison,,
aspirateur sans sac rowenta ro8366 animal care pro - 1,cuisine et maison,cuisine et maison,,
assistant d'aide a la conduite coyote s,high-tech,high-tech,,
assortiment mousses pour chat,animalerie,animalerie,,
atmosphasre - 216210 - drap plat uni - 260 x 300 cm - atmo blanc,cuisine et maison,cuisine et maison,,
attelage a00201,auto et moto,auto et moto,,
"AURSTOR Aurstore Etui Coque pour Iphone Se 2020,Iphone 8,Coque Iphone 7,Protection Housse en Cuir PU Portefeuille,[Ranges Cartes],[Languette Magnétique] pour (Iphone 7/8 (4,7 Pouces), Rouge)",high-tech,high-tech,,
autocollant plaque immatriculation voiture dpt 79 deux sevres,auto et moto,auto et moto,,
baileys original irish cream liqueur 1l,epicerie,epicerie,,
"balance de bain numerique weight reading, balance electronique rose balance de chargement usb, balances electroniques a domicile balance de pesee corporelle precise - pese-personnes @ 26 * 26",hygiene et sante,hygiene et sante,,
balvenie caribbean cask 14 year old single malt scotch whisky 70cl,epicerie,epicerie,,
bandeau sport bluetooth ecouteurs hd stereo casque sommeil sans fil,high-tech,cuisine et maison,,
barre de toit volkswagn adaptable,auto et moto,auto et moto,,
batterie mapex tornado,auto et moto,vetements,,
batterie ytx14-bs 12v moto scooter quad 12ah neuf atx14-bs ftx14-bs gtx14-bs,auto et moto,auto et moto,,
beats by dr dre powerbeats2 on-ear headphones hooked wireless blue #082,high-tech,high-tech,,
beats studio 3 casque bluetooth - matte black,high-tech,high-tech,,
beats studio casque audio supra-auriculaire - blanc,high-tech,high-tech,,
"beausejour, crozes hermitage vin rouge, 2016",epicerie,epicerie,,
"bedsure plaid a manche polaire - couverture a manche et poche portable en microfibre, couverture tv doux et confortbale, 170x200 cm rouge fonce",cuisine et maison,cuisine et maison,,
"benq 27\ led - gw2780 """,high-tech,high-tech,,
bermuda en molleton avec poche a soufflet,vetements,vetements,,
beyerdynamic dt 880 pro casque studio,high-tech,high-tech,,
"beyond drape tringle a rideaux extensible blanc differentes tailles avec lot de 2 crochets a visser plat recouvert de plastique pour la suspension des rideaux a volants, 100-160 cm",cuisine et maison,cuisine et maison,,
bibliotheque 3 portes blanc laque l95cm snow,cuisine et maison,cuisine et maison,,
"bibliotheque marla - 139,1 x 151,2 x 25 cm - blanc & noyer",cuisine et maison,cuisine et maison,,
"biere - alcool 5,2 % vol. 6x25cl",epicerie,epicerie,,
biere 1664 - la canette de 50cl,epicerie,epicerie,,
biere ambree hapchot,epicerie,epicerie,,
"biere aromatisee tequila desperados, 5,9deg, 12x33cl",epicerie,epicerie,,
biere blonde 4 x 33 cl,epicerie,auto et moto,,
biere blonde de la reunion bourbon 5deg 33cl,epicerie,epicerie,,
"biere blonde, pelforth, pack de 6 bouteilles de 25cl",epicerie,epicerie,,
biere honkers ale goose island,epicerie,epicerie,,
biere la verte au genepi - brasserie du mont blanc| verte - france| 6 x 75 cl - 3760023241121,epicerie,epicerie,,
biere sans alcool aux agrumes tourtel twist,epicerie,epicerie,,
"biere sierra nevada pale ale|blonde- etats-unis|6 x 35,5 cl - 083783375251",epicerie,jeux video,,
biere speciale remes,epicerie,epicerie,,
biscuits citron et gingembre - 150g - 340844,animalerie,auto et moto,,
bison grass vodka,epicerie,jeux video,,
blazer en maille jaspee,vetements,vetements,,
blouse en tissu armure,vetements,vetements,,
blouson zippe motard en simili,vetements,vetements,,
blue orange taco chat bouc cheese pizza,animalerie,animalerie,,
body naissance coton 0 mois-3 ans (lot de 3),vetements,vetements,,
boisson instantane au,epicerie,epicerie,,
boite de 10 masques coque 9322 antipoussieres ffp2 r d a elastique bleu avec soupape respiratoire,hygiene et sante,hygiene et sante,,
"boites almo nature legend 5 x 70 g + 1 boite offerte !truite, thon",animalerie,bebe et puericulture,,
bomcomi 12v-48v batterie plomb-acide jauge de batterie lithium voltmetre lcd 48v capacite testeur indicateur analyseur 12v 24v 48v,auto et moto,auto et moto,,
bonnes tables auvergne - limousin |21 x 12 cm |96 pages - 9782746937550,cuisine et maison,cuisine et maison,,
bordeaux - vin rouge 5l,epicerie,epicerie,,
bordeaux superieur chateau canteloudette 2013,epicerie,epicerie,,
bordeaux superieur vin rouge chateau bois de la charbonnieres,epicerie,epicerie,,
bosch - systeme de percage tassimo bosch - 00616231,epicerie,epicerie,,
bosch croquette agneau/riz pour chien adulte 15 kg,animalerie,animalerie,,
bosch tassimo vivy tas1257 - creme,epicerie,epicerie,,
bose qc35 quietcomfort casque bluetooth,high-tech,high-tech,,
bouchees pour chat ..,animalerie,animalerie,,
"bougie ""oeillet du tigre"" | noir | 60 h - 250 g - bgw",cuisine et maison,cuisine et maison,,
bougie 1 meche moods |harmony |235g - 45 heures env. - m01,cuisine et maison,cuisine et maison,,
bougie grande jarre yankee candle figues et mures gourmandes,cuisine et maison,jeux video,,
bougie parfumee coco tiare,cuisine et maison,cuisine et maison,,
"bougie parfumee en ceramique imprime blanche, beige et bleue",cuisine et maison,cuisine et maison,,
bougies a pois chiffre 1,cuisine et maison,cuisine et maison,,
"bourgogne hautes cotes de nuits, 2018, rouge - 6 x 75 cl - 3296311186381",epicerie,epicerie,,
"bourgogne hautes-cotes de nuits aop rouge morin, bouteille de 75cl",epicerie,epicerie,,
box de noel pour chien,animalerie,animalerie,,
boys vehicles vests 2 pack - caraco,vetements,vetements,,
bracelet connecte garmin vivosmart 4 gris avec bracelet noir taille l,high-tech,high-tech,,
bracelet connecte samsung gear fit,high-tech,high-tech,,
bracelet sangle bande silicone fitness remplace...,high-tech,high-tech,,
brit care cat daisy i've to control my weight,animalerie,animalerie,,
buffet 1m22 x 91cm,cuisine et maison,cuisine et maison,,
"buffet 4 portes vitrees , jerk",cuisine et maison,cuisine et maison,,
bureau aarhus 115 x 60 cm,cuisine et maison,cuisine et maison,,
"byjf oreillette bluetooth, ecouteurs intra-auriculaires, oreillette bluetooth, oreillette stereo pour smartphones (white)",high-tech,high-tech,,
cable audio de rechange pour casque bose(r) quietcomfort 3 (qc3) pour iphone android,high-tech,high-tech,,
cable d'embrayage pour yamaha dt 125 r/rh/re/x/rn/mx,auto et moto,hygiene et sante,,
cable video rca hitcar pour camera de recul de voiture avec fil de detection male to female 6 meters,high-tech,high-tech,,
cadillac cotes/bdx aoc rg ch.marsan cuvee m.pasquier 15 75cl,epicerie,epicerie,,
cafe - dosettes - corse,epicerie,epicerie,,
cafe capsules nespresso sumatra starbucks,epicerie,epicerie,,
cafe corse en grains latour - 250 g,epicerie,vetements,,
cafe en grain marley coffee talkin' blues 100% jamaica blue moun (mceub304f),epicerie,epicerie,,
cafe en grains : espresso forte - melange italien - 1kg - lionel lugat,epicerie,epicerie,,
cafe en grains classic rouge special bar - 1 kg - cosmai caffe (caf003),epicerie,animalerie,,
cafe en grains premium d'arome bio,epicerie,epicerie,,
cafe extra | 100 capsules|560 g - extra-nespresso_blue,epicerie,epicerie,,
cafe grain intenso (scura) illy - torrefaction foncee - 12x250g (7385),epicerie,epicerie,,
cafe l'or cafe long tassimo,epicerie,epicerie,,
cafe moulu colombie pur arabica lobodis,epicerie,epicerie,,
cafe moulu d'ethiopie,epicerie,epicerie,,
"cafe soluble maxwell house max, 100 sticks, 200g",epicerie,epicerie,,
cafeteria nescafe dolce gusto,epicerie,epicerie,,
cafetiere a dosette dolce gusto - krups,epicerie,epicerie,,
cafetiere a dosettes + 3 boites de capsules - 1.2 l - 1500 w krups,epicerie,epicerie,,
cafetiere a dosettes ou capsules philips senseo viva cafe hd6563/31 1450 w rose,epicerie,epicerie,,
camera de recul blackvue neuve,high-tech,high-tech,,
camera embarquee rotative infrarouge photos & videos 32 gigas,high-tech,high-tech,,
canape bz 160,cuisine et maison,cuisine et maison,,
canape d'angle convertible en lit but,cuisine et maison,cuisine et maison,,
canape d'angle convertible soflit,cuisine et maison,jeux video,,
canape fixe,cuisine et maison,cuisine et maison,,
canape odna en lin blanc la redoute,cuisine et maison,cuisine et maison,,
canibit oreilles de lapin pour chien - 200 g,animalerie,animalerie,,
"capsules de cafe espresso en aluminium, lungo profundo, intensite 8",epicerie,epicerie,,
capsules de cafe expresso,epicerie,epicerie,,
capsules de cafe pet..,epicerie,epicerie,,
capsules espresso notes intenses et boisees,epicerie,epicerie,,
capteur radar de recul peugeot,high-tech,high-tech,,
cardan skf vkjc 7489,auto et moto,epicerie,,
cardicool manches longues 10-16 ans,vetements,vetements,,
cardigan zippe - rouge,vetements,vetements,,
casque - ecouteurs casque audio sans fil 5in1 casque audio sans fil ecouteur hi-fi radio fm tv mp3 mp4 am1u221_you,high-tech,high-tech,,
casque audio beats by dr.dre - mixr,high-tech,high-tech,,
casque audio bluetooth filaire neuf sennheiser 4.50bt nc,high-tech,high-tech,,
casque audio bluetooth jbl e55 bt blanc,high-tech,vetements,,
casque audio jbl reflect mini bluetooth noir,high-tech,high-tech,,
"casque audio micro, oneodio casque gaming ps4, casque micro pc, casque gamer xbox one compatible pc tablette smartphone (noir)",high-tech,high-tech,,
"casque audio micro, oneodio casque gaming ps4, casque micro pc, casque gamer xbox one compatible pc tablette smartphone synthetiseur guitare piano",high-tech,high-tech,,
casque beats by dr dre studio wireless,high-tech,high-tech,,
casque beats solo hd by dr dre monochromatic magenta,high-tech,high-tech,,
casque beats solo v2 silver,high-tech,high-tech,,
casque bluetooth 4 moto modulable viper v131 - couleur :argent (m(57-58cm)),high-tech,high-tech,,
casque bluetooth bose soundlink 2,high-tech,high-tech,,
casque bluetooth sans fil stereo ecouteurs bluetooth sans fil headphone microphone pour iphone android telephones/tablettes/pc/mac,high-tech,vetements,,
"casque de jeu avec son surround virtuel px24 de turtle beach - ps4, ps4 pro, xbox one, xbox one s, pc et appareils mobiles",high-tech,high-tech,,
"casque dj, oneodio p10 casque audio studio professionnel, casque filaire, casque de monitoring, son parfait pour synthetiseur pc tablette smartphone (rouge)",high-tech,high-tech,,
casque gaming filaire communicator,high-tech,high-tech,,
casque gaming steelseries siberia v3 noir --,high-tech,high-tech,,
casque logitech g pro gaming neuf,high-tech,high-tech,,
casque marshall major iv noir,high-tech,high-tech,,
casque sans fil bose quietcomfort 35 ii noir + google assistant,high-tech,high-tech,,
"casque stereo bluetooth x10, ecouteurs bluetooth 5.0 ecouteurs sans fil oreillette intra-auriculaires casque de sport avec boite rechargeable compatible avec tous les appareils",high-tech,high-tech,,
casque stereo supra-auriculaire pliable - bluetooth 3.0 portee 10m - blanc et noir - tes111w,high-tech,high-tech,,
casque supra-auriculaire beats ep rouge --,high-tech,high-tech,,
